Instrument,isin,Pakiet,Pakiet (PLN),Udział w portfelu (%),Udział w obrotach akcjami i PDA na sesji (%),Średni spread na sesji***** (punkty bazowe)*,indeks_pl
PKNORLEN,PLPKN0000018,559988000,38924765880,15.155,19.24,4,WIG20
PKOBP,PLPKO0000016,857593000,33626221530,13.092,14.28,5,WIG20
PZU,PLPZU0000011,568305000,22533293250,8.773,3.96,4,WIG20
DINOPL,PLDINPL00011,47880000,20727252000,8.07,7.93,5,WIG20
PEKAO,PLPEKAO00016,176379000,19833818550,7.722,6.32,7,WIG20
ALLEGRO,LU2237380790,467319000,15818748150,6.159,3.6,4,WIG20
KGHM,PLKGHM000017,136410000,15693970500,6.11,6.87,7,WIG20
LPP,PLLPP0000011,1047000,13726170000,5.344,2.98,14,WIG20
SANPL,PLBZ00000044,33308000,12723656000,4.954,2.12,10,WIG20
CDPROJEKT,PLOPTTC00011,69744000,11148578400,4.341,2.3,6,WIG20
KRUK,PLKRK0000010,17551000,7346848600,2.86,0.66,16,WIG20
PGE,PLPGER000010,859413000,7279228110,2.834,1.77,6,WIG20
KETY,PLKETY000011,9650000,6668150000,2.596,3.0,12,WIG20
MBANK,PLBRE0000012,13080000,5861148000,2.282,1.33,10,WIG20
PEPCO,NL0015000AU7,159405000,5263553100,2.049,0.92,13,WIG20
ALIOR,PLALIOR00045,88895000,4963896800,1.933,1.76,10,WIG20
ORANGEPL,PLTLKPL00017,647357000,4629897264,1.803,1.33,5,WIG20
ASSECOPOL,PLSOFTB00016,55869000,4271185050,1.663,0.36,11,WIG20
CYFRPLSAT,PLCFRPT00013,242743000,3815919960,1.486,1.12,7,WIG20
JSW,PLJSW0000015,52636000,1986482640,0.773,1.4,9,WIG20
INGBSK,PLBSK0000017,32525000,6147225000,9.175,0.14,35,mWIG40
INTERCARS,PLINTCS00010,9164000,5434252000,8.111,0.12,45,mWIG40
BUDIMEX,PLBUDMX00013,12728000,5383944000,8.036,0.87,20,mWIG40
TAURONPE,PLTAURN00011,1043590000,3965642000,5.919,0.85,18,mWIG40
MILLENNIUM,PLBIG0000016,605345000,3644176900,5.439,0.65,22,mWIG40
BENEFIT,PLBNFTS00018,1963000,3140800000,4.688,0.1,79,mWIG40
HANDLOWY,PLBH00000012,32664000,2828702400,4.222,0.27,55,mWIG40
ENEA,PLENEA000013,252715000,2246636350,3.353,0.58,16,mWIG40
CCC,PLCCC0000016,45912000,2222140800,3.317,0.75,22,mWIG40
WIRTUALNA,PLWRTPL00027,17951000,2103857200,3.14,0.03,37,mWIG40
LIVECHAT,PLLVTSF00010,15015000,2057055000,3.07,0.86,33,mWIG40
DEVELIA,PLLCCRP00017,447558000,2052053430,3.063,0.04,33,mWIG40
XTB,PLXTRDM00011,45753000,1753254960,2.617,0.95,11,mWIG40
AMREST,ES0105375002,60984000,1674010800,2.499,0.17,25,mWIG40
11BIT,PL11BTS00015,2248000,1564608000,2.335,0.11,29,mWIG40
DOMDEV,PLDMDVL00012,10103000,1507367600,2.25,0.02,30,mWIG40
AUTOPARTN,PLATPRT00018,68675000,1431873750,2.137,0.13,34,mWIG40
EUROCASH,PLEURCH00011,77875000,1267026250,1.891,0.11,19,mWIG40
NEUCA,PLTRFRM00018,1568000,1166592000,1.741,0.11,50,mWIG40
STSHOLDING,PLSTSHL00012,47106000,1165873500,1.74,0.91,31,mWIG40
GRUPAAZOTY,PLZATRM00012,46803000,1152289860,1.72,0.82,16,mWIG40
BNPPPL,PLBGZ0000010,18685000,1121100000,1.673,0.03,61,mWIG40
ASBIS,CY1000031710,35051000,1110415680,1.657,0.22,16,mWIG40
GRUPRACUJ,PLGRPRC00015,18012000,1080720000,1.613,0.07,43,mWIG40
SELVITA,PLSLVCR00029,14360000,1069820000,1.597,0.09,63,mWIG40
CIECH,PLCIECH00018,22018000,1040350500,1.553,0.14,21,mWIG40
HUUUGE,US44853H1086,42854000,1013497100,1.513,0.08,37,mWIG40
GPW,PLGPW0000017,27199000,1001467180,1.495,0.27,13,mWIG40
GRENEVIA,PLFAMUR00012,283948000,956904760,1.428,0.03,43,mWIG40
