index,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_name
643,100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552,Alexander Zverev
4919,104925,Novak,Djokovic,R,19870522.0,SRB,188.0,Q5812,Novak Djokovic
5165,105173,Adrian,Mannarino,L,19880629.0,FRA,183.0,Q373522,Adrian Mannarino
5514,105526,Jan Lennard,Struff,R,19900425.0,GER,193.0,Q1681537,Jan Lennard Struff
5762,105777,Grigor,Dimitrov,R,19910516.0,BUL,188.0,Q337681,Grigor Dimitrov
6406,106421,Daniil,Medvedev,R,19960211.0,RUS,198.0,Q21622022,Daniil Medvedev
11559,111575,Karen,Khachanov,R,19960521.0,RUS,198.0,Q16568576,Karen Khachanov
11781,111797,Nicolas,Jarry,R,19951011.0,CHI,198.0,Q16466282,Nicolas Jarry
11799,111815,Cameron,Norrie,L,19950823.0,GBR,188.0,Q23668736,Cameron Norrie
22314,122330,Alexander,Bublik,R,19970617.0,KAZ,196.0,Q23678983,Alexander Bublik
26078,126094,Andrey,Rublev,R,19971020.0,RUS,188.0,Q17373391,Andrey Rublev
26187,126203,Taylor,Fritz,R,19971028.0,USA,193.0,Q17660516,Taylor Fritz
26189,126205,Tommy,Paul,R,19970517.0,USA,185.0,Q20050871,Tommy Paul
26191,126207,Frances,Tiafoe,R,19980120.0,USA,188.0,Q17305299,Frances Tiafoe
26758,126774,Stefanos,Tsitsipas,R,19980812.0,GRE,193.0,Q24450982,Stefanos Tsitsipas
28018,128034,Hubert,Hurkacz,R,19970211.0,POL,196.0,Q18927958,Hubert Hurkacz
34754,134770,Casper,Ruud,R,19981222.0,NOR,183.0,Q18810082,Casper Ruud
34852,134868,Tallon,Griekspoor,R,19960702.0,NED,188.0,Q28777443,Tallon Griekspoor
44852,144869,Tomas Martin,Etcheverry,R,19990718.0,ARG,196.0,Q104728520,Tomas Martin Etcheverry
52103,200000,Felix,Auger Aliassime,R,20000808.0,CAN,193.0,Q20752045,Felix Auger Aliassime
52108,200005,Ugo,Humbert,L,19980626.0,FRA,188.0,Q54007306,Ugo Humbert
52324,200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP,183.0,Q33084529,Alejandro Davidovich Fokina
52385,200282,Alex,De Minaur,R,19990217.0,AUS,183.0,Q22958938,Alex De Minaur
52727,200624,Sebastian,Korda,R,20000705.0,USA,196.0,Q47500285,Sebastian Korda
54206,202103,Francisco,Cerundolo,R,19980813.0,ARG,185.0,Q61709770,Francisco Cerundolo
54207,202104,Sebastian,Baez,R,20001228.0,ARG,170.0,Q47396310,Sebastian Baez
58276,206173,Jannik,Sinner,R,20010816.0,ITA,188.0,Q54812588,Jannik Sinner
59621,207518,Lorenzo,Musetti,R,20020303.0,ITA,185.0,Q54813043,Lorenzo Musetti
60092,207989,Carlos,Alcaraz,R,20030505.0,ESP,185.0,Q85518537,Carlos Alcaraz
60132,208029,Holger,Rune,R,20030429.0,DEN,185.0,,Holger Rune
60206,208103,Jiri,Lehecka,R,20011108.0,CZE,185.0,Q61415365,Jiri Lehecka
62200,210097,Ben,Shelton,L,20021009.0,USA,,Q108532383,Ben Shelton
