surface,tourney_level,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,best_of,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced,opponent_ace,opponent_df,opponent_svpt,opponent_1stIn,opponent_1stWon,opponent_2ndWon,opponent_SvGms,opponent_bpSaved,opponent_bpFaced,player_rank,opponent_rank,result
Hard,A,R,188.0,32.6,L,185.0,33.5,3,12.0,2.0,64.0,49.0,41.0,9.0,10.0,5.0,5.0,5.0,3.0,70.0,51.0,39.0,6.0,10.0,6.0,8.0,2.0,1.0,True
Hard,A,R,183.0,31.7,R,180.0,29.5,3,2.0,1.0,59.0,44.0,29.0,10.0,10.0,3.0,5.0,2.0,1.0,57.0,35.0,21.0,6.0,9.0,5.0,10.0,10.0,34.0,True
Hard,A,R,188.0,32.6,R,198.0,23.9,3,4.0,5.0,111.0,75.0,53.0,16.0,15.0,8.0,11.0,6.0,5.0,108.0,57.0,35.0,25.0,14.0,6.0,11.0,2.0,5.0,True
Hard,A,R,180.0,29.5,R,198.0,23.6,3,1.0,1.0,67.0,48.0,38.0,14.0,12.0,0.0,0.0,9.0,3.0,79.0,54.0,39.0,14.0,12.0,0.0,1.0,34.0,17.0,True
Hard,A,L,185.0,33.5,R,183.0,20.8,3,5.0,3.0,84.0,61.0,48.0,10.0,15.0,1.0,3.0,6.0,1.0,75.0,55.0,37.0,10.0,14.0,1.0,5.0,1.0,18.0,True
Hard,A,R,183.0,31.7,R,193.0,24.6,3,4.0,0.0,57.0,44.0,35.0,7.0,9.0,1.0,1.0,13.0,1.0,55.0,38.0,22.0,8.0,8.0,4.0,7.0,10.0,29.0,True
Hard,A,R,188.0,32.6,L,185.0,20.7,3,4.0,8.0,106.0,64.0,46.0,24.0,15.0,5.0,7.0,15.0,7.0,85.0,44.0,36.0,19.0,14.0,2.0,5.0,2.0,14.0,True
Hard,A,R,180.0,29.5,R,193.0,19.4,3,3.0,0.0,62.0,47.0,35.0,8.0,9.0,2.0,2.0,10.0,5.0,68.0,45.0,31.0,7.0,9.0,8.0,11.0,34.0,21.0,True
Hard,A,R,198.0,23.9,R,170.0,27.3,3,14.0,0.0,103.0,68.0,53.0,13.0,15.0,8.0,10.0,1.0,3.0,82.0,56.0,36.0,16.0,14.0,2.0,5.0,5.0,13.0,True
Hard,A,R,198.0,23.6,L,185.0,29.6,3,7.0,1.0,63.0,46.0,39.0,7.0,10.0,5.0,6.0,3.0,4.0,65.0,36.0,24.0,14.0,10.0,2.0,5.0,17.0,25.0,True
Hard,A,R,175.0,29.6,R,183.0,20.8,3,4.0,1.0,133.0,88.0,57.0,26.0,17.0,5.0,9.0,6.0,1.0,118.0,78.0,55.0,21.0,17.0,10.0,13.0,42.0,18.0,True
Hard,A,R,193.0,24.6,L,188.0,24.3,3,11.0,4.0,55.0,36.0,26.0,11.0,8.0,5.0,6.0,1.0,4.0,47.0,28.0,16.0,5.0,8.0,2.0,7.0,29.0,52.0,True
Hard,A,R,180.0,29.0,L,185.0,33.5,3,6.0,3.0,82.0,49.0,37.0,14.0,11.0,8.0,10.0,4.0,4.0,82.0,51.0,34.0,15.0,11.0,11.0,14.0,11.0,1.0,True
Hard,A,R,183.0,31.7,R,180.0,25.9,3,2.0,2.0,57.0,41.0,29.0,9.0,9.0,2.0,3.0,3.0,1.0,55.0,40.0,23.0,5.0,8.0,4.0,8.0,10.0,158.0,True
Hard,A,R,188.0,32.6,R,193.0,33.3,3,0.0,5.0,70.0,36.0,26.0,20.0,9.0,9.0,9.0,5.0,5.0,55.0,38.0,26.0,5.0,8.0,0.0,3.0,2.0,9.0,True
Hard,A,R,196.0,30.6,R,180.0,29.5,3,10.0,6.0,87.0,49.0,41.0,18.0,15.0,2.0,4.0,4.0,1.0,100.0,72.0,44.0,18.0,15.0,8.0,13.0,24.0,34.0,True
Hard,A,R,188.0,32.6,R,203.0,33.6,3,10.0,1.0,74.0,55.0,43.0,13.0,12.0,3.0,4.0,17.0,3.0,105.0,71.0,52.0,13.0,12.0,7.0,8.0,2.0,147.0,True
Hard,A,R,180.0,29.5,R,193.0,22.8,3,1.0,1.0,87.0,60.0,44.0,17.0,16.0,0.0,3.0,15.0,5.0,96.0,63.0,46.0,13.0,14.0,6.0,8.0,34.0,99.0,True
Hard,A,R,188.0,32.6,R,185.0,23.6,3,3.0,4.0,53.0,30.0,26.0,11.0,9.0,1.0,2.0,6.0,3.0,48.0,25.0,17.0,11.0,9.0,0.0,4.0,2.0,33.0,True
Hard,A,R,180.0,29.5,R,198.0,24.2,3,2.0,1.0,64.0,43.0,33.0,11.0,10.0,1.0,2.0,9.0,1.0,72.0,45.0,30.0,12.0,10.0,4.0,7.0,34.0,77.0,True
Hard,A,R,203.0,33.6,R,196.0,30.6,3,11.0,5.0,115.0,72.0,54.0,19.0,16.0,9.0,13.0,18.0,12.0,105.0,63.0,51.0,18.0,16.0,2.0,4.0,147.0,24.0,True
Hard,A,R,183.0,35.0,R,193.0,22.8,3,2.0,5.0,70.0,47.0,35.0,8.0,12.0,5.0,8.0,7.0,2.0,98.0,67.0,36.0,14.0,12.0,15.0,20.0,57.0,99.0,True
Hard,A,R,193.0,33.3,R,185.0,23.6,3,11.0,6.0,66.0,43.0,35.0,10.0,11.0,3.0,4.0,4.0,2.0,53.0,29.0,22.0,11.0,10.0,1.0,4.0,9.0,33.0,True
Hard,A,R,196.0,30.6,R,198.0,24.2,3,13.0,9.0,105.0,50.0,40.0,26.0,15.0,9.0,11.0,12.0,2.0,96.0,64.0,41.0,16.0,15.0,5.0,10.0,24.0,77.0,True
Hard,A,R,203.0,33.6,R,185.0,23.6,3,11.0,0.0,35.0,26.0,24.0,4.0,7.0,0.0,0.0,0.0,4.0,58.0,35.0,19.0,9.0,8.0,7.0,12.0,147.0,33.0,True
Hard,A,R,193.0,22.8,R,198.0,24.2,3,8.0,1.0,56.0,38.0,32.0,8.0,10.0,1.0,2.0,4.0,3.0,63.0,44.0,28.0,8.0,10.0,5.0,8.0,99.0,77.0,True
Hard,A,L,185.0,33.5,L,170.0,24.2,3,7.0,3.0,76.0,48.0,33.0,18.0,11.0,6.0,8.0,0.0,2.0,69.0,51.0,34.0,7.0,11.0,2.0,5.0,1.0,72.0,True
Hard,A,R,183.0,31.7,R,178.0,35.3,3,6.0,0.0,47.0,32.0,26.0,10.0,9.0,0.0,0.0,4.0,1.0,60.0,38.0,26.0,8.0,9.0,5.0,8.0,10.0,119.0,True
Hard,A,L,185.0,33.5,R,185.0,27.8,3,2.0,2.0,56.0,35.0,26.0,12.0,11.0,2.0,5.0,4.0,5.0,77.0,37.0,23.0,16.0,10.0,5.0,10.0,1.0,26.0,True
Hard,A,R,183.0,31.7,R,183.0,26.4,3,1.0,0.0,30.0,18.0,15.0,10.0,6.0,1.0,1.0,5.0,2.0,67.0,41.0,20.0,7.0,6.0,8.0,14.0,10.0,678.0,True
Hard,A,L,185.0,33.5,R,180.0,34.0,3,6.0,1.0,44.0,27.0,24.0,11.0,8.0,1.0,1.0,8.0,2.0,53.0,36.0,23.0,3.0,7.0,4.0,8.0,1.0,45.0,True
Hard,A,L,170.0,24.2,R,185.0,27.8,3,5.0,1.0,71.0,47.0,32.0,13.0,9.0,10.0,11.0,2.0,4.0,56.0,35.0,17.0,10.0,8.0,5.0,9.0,72.0,26.0,True
Hard,A,R,178.0,35.3,R,183.0,26.4,3,4.0,1.0,74.0,47.0,36.0,14.0,14.0,2.0,5.0,3.0,7.0,87.0,45.0,30.0,18.0,13.0,4.0,9.0,119.0,678.0,True
Hard,A,L,170.0,24.2,R,180.0,34.0,3,1.0,2.0,37.0,23.0,18.0,10.0,7.0,0.0,0.0,0.0,0.0,36.0,26.0,9.0,2.0,6.0,1.0,6.0,72.0,45.0,True
Hard,A,R,178.0,35.3,R,188.0,27.9,3,0.0,1.0,41.0,36.0,29.0,4.0,8.0,0.0,0.0,5.0,2.0,65.0,41.0,24.0,9.0,8.0,4.0,8.0,119.0,523.0,True
Hard,A,R,185.0,27.8,R,180.0,34.0,3,4.0,5.0,88.0,53.0,39.0,17.0,13.0,1.0,3.0,14.0,3.0,115.0,72.0,49.0,20.0,14.0,13.0,15.0,26.0,45.0,True
Hard,A,R,175.0,29.6,R,180.0,29.0,3,3.0,0.0,74.0,53.0,31.0,11.0,10.0,1.0,4.0,4.0,0.0,56.0,29.0,17.0,13.0,10.0,0.0,5.0,42.0,11.0,True
Hard,A,R,178.0,35.8,L,188.0,24.3,3,5.0,1.0,46.0,32.0,27.0,7.0,9.0,0.0,1.0,2.0,1.0,51.0,36.0,19.0,9.0,9.0,4.0,8.0,200.0,52.0,True
Hard,A,R,180.0,29.0,R,188.0,28.6,3,8.0,3.0,85.0,49.0,37.0,14.0,13.0,4.0,8.0,2.0,7.0,101.0,61.0,38.0,11.0,13.0,13.0,20.0,11.0,20.0,True
Hard,A,R,183.0,26.4,R,178.0,35.8,3,0.0,0.0,49.0,36.0,23.0,9.0,8.0,2.0,3.0,0.0,1.0,41.0,24.0,14.0,3.0,7.0,4.0,9.0,417.0,200.0,True
Hard,A,R,180.0,29.0,R,175.0,30.1,3,6.0,3.0,54.0,30.0,22.0,15.0,8.0,5.0,5.0,3.0,2.0,63.0,39.0,23.0,10.0,9.0,7.0,11.0,11.0,46.0,True
